channel,campaign_name,month,spend
Google Ads,Brand Search,2025-07,4739.89
Google Ads,Brand Search,2025-08,4754.67
Google Ads,Brand Search,2025-09,4571.87
Google Ads,Brand Search,2025-10,4186.66
Google Ads,Brand Search,2025-11,4321.61
Google Ads,Brand Search,2025-12,4916.67
Google Ads,Brand Search,2026-01,4908.27
Google Ads,Brand Search,2026-02,4821.22
Google Ads,Brand Search,2026-03,4828.79
Google Ads,Brand Search,2026-04,4746.55
Google Ads,Brand Search,2026-05,4406.66
Google Ads,Brand Search,2026-06,4018.49
Google Ads,Non-Brand Search,2025-07,4553.79
Google Ads,Non-Brand Search,2025-08,5246.37
Google Ads,Non-Brand Search,2025-09,4847.74
Google Ads,Non-Brand Search,2025-10,4398.26
Google Ads,Non-Brand Search,2025-11,4744.27
Google Ads,Non-Brand Search,2025-12,4350.8
Google Ads,Non-Brand Search,2026-01,5079.93
Google Ads,Non-Brand Search,2026-02,5052.13
Google Ads,Non-Brand Search,2026-03,5361.89
Google Ads,Non-Brand Search,2026-04,5558.92
Google Ads,Non-Brand Search,2026-05,5705.66
Google Ads,Non-Brand Search,2026-06,4333.96
Google Ads,Retargeting,2025-07,3187.53
Google Ads,Retargeting,2025-08,2888.72
Google Ads,Retargeting,2025-09,2896.32
Google Ads,Retargeting,2025-10,3349.47
Google Ads,Retargeting,2025-11,3302.84
Google Ads,Retargeting,2025-12,3266.38
Google Ads,Retargeting,2026-01,2886.02
Google Ads,Retargeting,2026-02,3302.79
Google Ads,Retargeting,2026-03,3083.81
Google Ads,Retargeting,2026-04,2693.97
Google Ads,Retargeting,2026-05,3227.32
Google Ads,Retargeting,2026-06,3173.73
LinkedIn,Sponsored Content,2025-07,3619.31
LinkedIn,Sponsored Content,2025-08,3741.39
LinkedIn,Sponsored Content,2025-09,4534.23
LinkedIn,Sponsored Content,2025-10,3585.04
LinkedIn,Sponsored Content,2025-11,4623.88
LinkedIn,Sponsored Content,2025-12,4152.92
LinkedIn,Sponsored Content,2026-01,3581.57
LinkedIn,Sponsored Content,2026-02,3787.89
LinkedIn,Sponsored Content,2026-03,4231.03
LinkedIn,Sponsored Content,2026-04,4225.57
LinkedIn,Sponsored Content,2026-05,4080.79
LinkedIn,Sponsored Content,2026-06,4170.71
LinkedIn,InMail,2025-07,2982.17
LinkedIn,InMail,2025-08,2600.56
LinkedIn,InMail,2025-09,2860.47
LinkedIn,InMail,2025-10,2499.55
LinkedIn,InMail,2025-11,2433.54
LinkedIn,InMail,2025-12,2406.29
LinkedIn,InMail,2026-01,2500.35
LinkedIn,InMail,2026-02,2784.95
LinkedIn,InMail,2026-03,2514.87
LinkedIn,InMail,2026-04,2739.47
LinkedIn,InMail,2026-05,2807.2
LinkedIn,InMail,2026-06,2817.41
LinkedIn,Conversation Ads,2025-07,2539.95
LinkedIn,Conversation Ads,2025-08,2024.59
LinkedIn,Conversation Ads,2025-09,2557.4
LinkedIn,Conversation Ads,2025-10,2482.38
LinkedIn,Conversation Ads,2025-11,2081.84
LinkedIn,Conversation Ads,2025-12,2501.88
LinkedIn,Conversation Ads,2026-01,2370.33
LinkedIn,Conversation Ads,2026-02,2261.59
LinkedIn,Conversation Ads,2026-03,1948.26
LinkedIn,Conversation Ads,2026-04,2466.68
LinkedIn,Conversation Ads,2026-05,2361.35
LinkedIn,Conversation Ads,2026-06,2286.58
Content Marketing,Blog/SEO,2025-07,2257.4
Content Marketing,Blog/SEO,2025-08,2505.47
Content Marketing,Blog/SEO,2025-09,2510.65
Content Marketing,Blog/SEO,2025-10,2838.58
Content Marketing,Blog/SEO,2025-11,2349.73
Content Marketing,Blog/SEO,2025-12,2775.45
Content Marketing,Blog/SEO,2026-01,2311.77
Content Marketing,Blog/SEO,2026-02,2331.47
Content Marketing,Blog/SEO,2026-03,2545.95
Content Marketing,Blog/SEO,2026-04,2356.6
Content Marketing,Blog/SEO,2026-05,2455.03
Content Marketing,Blog/SEO,2026-06,2857.92
Content Marketing,Webinars,2025-07,2479.99
Content Marketing,Webinars,2025-08,2179.35
Content Marketing,Webinars,2025-09,2068.85
Content Marketing,Webinars,2025-10,2498.8
Content Marketing,Webinars,2025-11,2168.14
