deal_id,touchpoint_date,channel,campaign_name,content_asset,touchpoint_type,funnel_stage_at_touch,contact_role
DEAL-001,2025-07-04,Content Marketing,Blog/SEO,Multi-Touch Attribution Guide,content_download,lead,Director of Ops
DEAL-001,2025-07-11,LinkedIn,InMail,Product Update Announcement,content_download,sql,Product Manager
DEAL-001,2025-07-17,Content Marketing,Blog/SEO,Channel ROI Framework,page_visit,opportunity,Product Manager
DEAL-002,2025-07-06,Content Marketing,Blog/SEO,Channel ROI Framework,page_visit,lead,Product Manager
DEAL-002,2025-08-09,Outbound BDR,Inbound Response,Free Trial Onboarding Call,email_click,sql,CEO
DEAL-002,2025-09-08,Email Campaigns,Product Updates,Feature Launch Announcement,page_visit,opportunity,Product Manager
DEAL-003,2025-07-19,Email Campaigns,Product Updates,Platform Update Newsletter,email_click,lead,Marketing Analyst
DEAL-003,2025-07-21,Email Campaigns,Re-engagement,New Feature Alert,page_visit,lead,Digital Marketing Specialist
DEAL-003,2025-07-25,Email Campaigns,Product Updates,Platform Update Newsletter,email_open,mql,VP Marketing
DEAL-003,2025-07-26,Google Ads,Non-Brand Search,Pipeline Analytics LP,page_visit,mql,SDR/BDR
DEAL-003,2025-08-03,Email Campaigns,Nurture Sequences,Use Case Showcase,email_open,sql,VP Marketing
DEAL-003,2025-08-04,Email Campaigns,Nurture Sequences,Customer Testimonial Email,page_visit,sql,VP Marketing
DEAL-003,2025-08-05,Email Campaigns,Product Updates,Platform Update Newsletter,email_open,opportunity,VP Marketing
DEAL-003,2025-08-07,Google Ads,Non-Brand Search,Attribution Guide LP,page_visit,opportunity,VP Marketing
DEAL-004,2025-07-25,Outbound BDR,Inbound Response,Demo Request Response,email_click,lead,Marketing Manager
DEAL-004,2025-07-27,LinkedIn,Sponsored Content,Pipeline ROI Infographic,ad_click,lead,Marketing Manager
DEAL-004,2025-07-31,Google Ads,Retargeting,Case Study LP,ad_click,mql,Marketing Manager
DEAL-004,2025-08-02,LinkedIn,Conversation Ads,Interactive Product Tour,content_download,mql,CEO
DEAL-004,2025-08-09,LinkedIn,InMail,Product Update Announcement,content_download,sql,CEO
DEAL-004,2025-08-09,Email Campaigns,Re-engagement,We Miss You Email,email_open,sql,CEO
DEAL-004,2025-08-15,Content Marketing,Webinars,Revenue Ops Workshop,page_visit,opportunity,CEO
DEAL-004,2025-08-18,Content Marketing,Ebooks/Guides,Pipeline Intelligence Handbook,email_click,opportunity,CEO
DEAL-005,2025-07-24,Outbound BDR,Warm Follow-up,Post-Event Follow-up Call,email_open,lead,Head of Demand Gen
