channel,campaign_name,month,spend
Google Ads,Brand Search,2025-07,1184.97
Google Ads,Brand Search,2025-08,1188.67
Google Ads,Brand Search,2025-09,1142.97
Google Ads,Brand Search,2025-10,1046.66
Google Ads,Brand Search,2025-11,1080.4
Google Ads,Brand Search,2025-12,1229.17
Google Ads,Brand Search,2026-01,1227.07
Google Ads,Brand Search,2026-02,1205.31
Google Ads,Brand Search,2026-03,1207.2
Google Ads,Brand Search,2026-04,1186.64
Google Ads,Brand Search,2026-05,1101.66
Google Ads,Brand Search,2026-06,1004.62
Google Ads,Non-Brand Search,2025-07,1138.45
Google Ads,Non-Brand Search,2025-08,1311.59
Google Ads,Non-Brand Search,2025-09,1211.93
Google Ads,Non-Brand Search,2025-10,1099.57
Google Ads,Non-Brand Search,2025-11,1186.07
Google Ads,Non-Brand Search,2025-12,1087.7
Google Ads,Non-Brand Search,2026-01,1269.98
Google Ads,Non-Brand Search,2026-02,1263.03
Google Ads,Non-Brand Search,2026-03,1340.47
Google Ads,Non-Brand Search,2026-04,1389.73
Google Ads,Non-Brand Search,2026-05,1426.41
Google Ads,Non-Brand Search,2026-06,1083.49
Google Ads,Retargeting,2025-07,796.88
Google Ads,Retargeting,2025-08,722.18
Google Ads,Retargeting,2025-09,724.08
Google Ads,Retargeting,2025-10,837.37
Google Ads,Retargeting,2025-11,825.71
Google Ads,Retargeting,2025-12,816.6
Google Ads,Retargeting,2026-01,721.5
Google Ads,Retargeting,2026-02,825.7
Google Ads,Retargeting,2026-03,770.95
Google Ads,Retargeting,2026-04,673.49
Google Ads,Retargeting,2026-05,806.83
Google Ads,Retargeting,2026-06,793.43
LinkedIn,Sponsored Content,2025-07,904.83
LinkedIn,Sponsored Content,2025-08,935.35
LinkedIn,Sponsored Content,2025-09,1133.56
LinkedIn,Sponsored Content,2025-10,896.26
LinkedIn,Sponsored Content,2025-11,1155.97
LinkedIn,Sponsored Content,2025-12,1038.23
LinkedIn,Sponsored Content,2026-01,895.39
LinkedIn,Sponsored Content,2026-02,946.97
LinkedIn,Sponsored Content,2026-03,1057.76
LinkedIn,Sponsored Content,2026-04,1056.39
LinkedIn,Sponsored Content,2026-05,1020.2
LinkedIn,Sponsored Content,2026-06,1042.68
LinkedIn,InMail,2025-07,745.54
