deal_id,touchpoint_date,channel,campaign_name,content_asset,touchpoint_type,funnel_stage_at_touch,contact_role
DEAL-001,2025-11-07,Google Ads,Retargeting,Case Study LP,page_visit,lead,Product Manager
DEAL-001,2026-01-08,Email Campaigns,Nurture Sequences,Welcome Series Email,email_open,opportunity,Product Manager
DEAL-002,2025-10-07,Google Ads,Non-Brand Search,ROI Calculator Page,ad_click,lead,Director of Marketing
DEAL-002,2025-10-23,Google Ads,Brand Search,Product Overview Page,page_visit,sql,Director of Ops
DEAL-002,2025-11-09,Content Marketing,Ebooks/Guides,B2B Marketing Measurement Guide,email_click,opportunity,Director of Ops
DEAL-003,2026-03-18,LinkedIn,Conversation Ads,ROI Assessment Tool,content_download,lead,Director of Ops
DEAL-003,2026-03-28,Content Marketing,Blog/SEO,Multi-Touch Attribution Guide,content_download,lead,Product Manager
DEAL-003,2026-04-03,LinkedIn,Conversation Ads,Interactive Product Tour,page_visit,mql,Director of Ops
DEAL-003,2026-04-19,LinkedIn,InMail,Personalized Demo Invite,page_visit,mql,Director of Ops
DEAL-003,2026-04-28,Email Campaigns,Re-engagement,Special Offer Email,page_visit,sql,Product Manager
DEAL-003,2026-05-05,Content Marketing,Webinars,Attribution Masterclass,email_click,sql,Product Manager
DEAL-003,2026-05-15,Content Marketing,Blog/SEO,Pipeline Velocity Best Practices,email_click,opportunity,Director of Ops
DEAL-003,2026-05-26,Content Marketing,Blog/SEO,Channel ROI Framework,email_click,opportunity,Product Manager
DEAL-004,2026-05-26,Outbound BDR,Cold Outbound,Cold Call - Initial Outreach,email_click,lead,Marketing Analyst
DEAL-004,2026-06-02,Google Ads,Non-Brand Search,Attribution Guide LP,ad_click,lead,Marketing Analyst
DEAL-004,2026-06-09,Content Marketing,Webinars,Pipeline Analytics Deep Dive,page_visit,mql,VP Sales
DEAL-004,2026-06-17,Google Ads,Retargeting,Free Trial Page,ad_click,sql,VP Sales
DEAL-004,2026-06-19,Email Campaigns,Nurture Sequences,Welcome Series Email,email_click,opportunity,VP Sales
DEAL-004,2026-06-27,Content Marketing,Webinars,CMO Metrics That Matter,content_download,opportunity,VP Sales
DEAL-005,2025-08-29,Outbound BDR,Inbound Response,Free Trial Onboarding Call,email_click,lead,Marketing Manager
DEAL-005,2025-09-08,Google Ads,Brand Search,Pricing Page,page_visit,lead,Product Manager
DEAL-005,2025-09-16,LinkedIn,Conversation Ads,Quick Demo Scheduler,page_visit,mql,Product Manager
DEAL-005,2025-09-23,Events,Hosted Roundtables,RevOps Leaders Forum,webinar_attendance,sql,Product Manager
DEAL-005,2025-10-02,Events,Conferences,B2B Marketing Exchange,webinar_attendance,opportunity,CMO
DEAL-005,2025-10-09,Events,Partner Events,HubSpot INBOUND Talk,webinar_attendance,opportunity,CMO
DEAL-006,2025-08-13,Google Ads,Retargeting,Free Trial Page,page_visit,lead,CFO
DEAL-006,2025-08-22,Google Ads,Retargeting,Case Study LP,ad_click,lead,CFO
DEAL-006,2025-09-03,Google Ads,Retargeting,Case Study LP,page_visit,mql,VP Marketing
DEAL-006,2025-09-17,Outbound BDR,Warm Follow-up,Content Download Follow-up,sales_call,mql,VP Marketing
DEAL-006,2025-09-26,Google Ads,Non-Brand Search,Pipeline Analytics LP,page_visit,sql,CFO
DEAL-006,2025-10-08,Google Ads,Non-Brand Search,Attribution Guide LP,page_visit,sql,VP Marketing
DEAL-006,2025-10-18,Email Campaigns,Re-engagement,New Feature Alert,email_open,opportunity,CFO
DEAL-006,2025-11-02,Content Marketing,Blog/SEO,Channel ROI Framework,content_download,opportunity,CFO
DEAL-006,2025-11-13,Outbound BDR,Cold Outbound,Cold Call - Initial Outreach,sales_call,opportunity,CFO
DEAL-007,2026-01-12,Content Marketing,Ebooks/Guides,Complete Attribution Playbook,email_click,lead,Head of Demand Gen
DEAL-007,2026-01-18,Google Ads,Retargeting,Case Study LP,ad_click,lead,Head of Demand Gen
DEAL-007,2026-01-28,LinkedIn,Sponsored Content,Pipeline ROI Infographic,ad_click,lead,Head of Demand Gen
DEAL-007,2026-02-06,Content Marketing,Webinars,CMO Metrics That Matter,content_download,mql,Head of Demand Gen
DEAL-007,2026-02-19,LinkedIn,InMail,Executive Briefing Invite,ad_click,mql,CMO
DEAL-007,2026-03-01,Outbound BDR,Warm Follow-up,Referral Introduction Call,sales_call,sql,CMO
DEAL-007,2026-03-08,Outbound BDR,Cold Outbound,Cold Call - Initial Outreach,sales_call,sql,CMO
DEAL-007,2026-03-14,Content Marketing,Blog/SEO,B2B Funnel Optimization,page_visit,sql,Head of Demand Gen
DEAL-007,2026-03-24,Content Marketing,Blog/SEO,Channel ROI Framework,content_download,opportunity,VP Sales
DEAL-007,2026-04-07,Content Marketing,Ebooks/Guides,B2B Marketing Measurement Guide,email_click,opportunity,CMO
DEAL-007,2026-04-14,Content Marketing,Webinars,Attribution Masterclass,page_visit,opportunity,VP Sales
DEAL-008,2026-03-30,Google Ads,Non-Brand Search,Pipeline Analytics LP,page_visit,lead,Marketing Director
DEAL-008,2026-04-16,Email Campaigns,Nurture Sequences,Customer Testimonial Email,email_click,mql,Product Manager
DEAL-008,2026-04-27,Email Campaigns,Re-engagement,Special Offer Email,page_visit,sql,CEO
DEAL-008,2026-05-11,Google Ads,Non-Brand Search,Attribution Guide LP,page_visit,opportunity,CEO
DEAL-008,2026-05-28,Content Marketing,Webinars,CMO Metrics That Matter,content_download,opportunity,CMO
DEAL-009,2025-10-22,Outbound BDR,Warm Follow-up,Referral Introduction Call,email_click,lead,Marketing Analyst
DEAL-009,2025-11-03,LinkedIn,InMail,Executive Briefing Invite,ad_click,mql,Director of Marketing
DEAL-009,2025-11-15,Events,Partner Events,HubSpot INBOUND Talk,event_attendance,sql,Director of Marketing
DEAL-009,2025-12-05,Content Marketing,Webinars,Pipeline Analytics Deep Dive,email_click,opportunity,VP Sales
DEAL-009,2025-12-16,Outbound BDR,Cold Outbound,LinkedIn Connection Request,sales_call,opportunity,CFO
DEAL-010,2025-09-15,Content Marketing,Ebooks/Guides,Pipeline Intelligence Handbook,page_visit,lead,Content Strategist
DEAL-010,2025-09-26,Content Marketing,Blog/SEO,Multi-Touch Attribution Guide,email_click,lead,Content Strategist
DEAL-010,2025-10-12,LinkedIn,InMail,Product Update Announcement,content_download,lead,Marketing Director
DEAL-010,2025-10-24,Events,Conferences,Revenue Summit,webinar_attendance,mql,Marketing Director
DEAL-010,2025-11-07,Content Marketing,Webinars,Pipeline Analytics Deep Dive,email_click,mql,VP Sales
DEAL-010,2025-11-21,Content Marketing,Ebooks/Guides,Pipeline Intelligence Handbook,page_visit,sql,Marketing Director
DEAL-010,2025-12-05,Events,Conferences,Revenue Summit,webinar_attendance,sql,VP Sales
DEAL-010,2025-12-21,LinkedIn,Conversation Ads,Quick Demo Scheduler,page_visit,sql,VP Sales
DEAL-010,2026-01-06,Content Marketing,Ebooks/Guides,Pipeline Intelligence Handbook,content_download,opportunity,Marketing Director
DEAL-010,2026-01-16,Events,Hosted Roundtables,RevOps Leaders Forum,webinar_attendance,opportunity,VP Sales
DEAL-010,2026-01-31,Events,Conferences,Revenue Summit,event_attendance,opportunity,CEO
DEAL-011,2025-12-19,Google Ads,Retargeting,Demo Request Page,page_visit,lead,Marketing Manager
DEAL-011,2025-12-21,LinkedIn,Sponsored Content,Customer Success Story,page_visit,lead,Director of Ops
DEAL-011,2025-12-31,Outbound BDR,Inbound Response,Demo Request Response,email_open,lead,Director of Ops
